Countries,Points,Modified
Algeria,12,12
Djibouti,0,0
Niger,3,3
Burkina Faso,3,9
Tunisia,12,12
Equatorial Guinea,3,3
Mauritania,0,0
Zambia,9,9
Nigeria,6,12
Liberia,9,9
Central African Republic,0,0
Cape Verde,3,3
Cameroon,10,10
Malawi,0,0
Mozambique,3,3
Ivory Coast,10,10
Mali,8,8
Rwanda,4,4
Kenya,7,7
Uganda,3,3
Egypt,12,12
Angola,6,6
Libya,4,4
Gabon,1,1
Ghana,12,12
Ethiopia,6,6
Zimbabwe,0,0
South Africa,6,6
Senegal,12,12
Togo,3,3
Namibia,3,3
Congo,6,6
Morocco,6,10
Sudan,0,0
Guinea-Bissau,3,4
Guinea,9,9
DR Congo,9,9
Tanzania,7,7
Madagascar,0,0
Benin,7,7
