"Countries","Points"
"Algeria",12
"Djibouti",0
"Niger",3
"Burkina Faso",3
"Tunisia",12
"Equatorial Guinea",3
"Mauritania",0
"Zambia",9
"Nigeria",6
"Liberia",9
"Central African Republic",0
"Cape Verde",3
"Cameroon",10
"Malawi",0
"Mozambique",3
"Ivory Coast",10
"Mali",8
"Rwanda",4
"Kenya",7
"Uganda",3
"Egypt",12
"Angola",6
"Libya",4
"Gabon",1
"Ghana",12
"Ethiopia",6
"Zimbabwe",0
"South Africa",6
"Senegal",12
"Togo",3
"Namibia",3
"Congo",6
"Morocco",6
"Sudan",0
"Guinea-Bissau",3
"Guinea",9
"DR Congo",9
"Tanzania",7
"Madagascar",0
"Benin",7
