"Countries","Points"
"Czech Republic",9
"Estonia",5
"Gibraltar",2
"Latvia",4
"Turkey",6
"Cyprus",2
"Malta",3
"Russia",7
"Germany",9
"Iceland",5
"Liechtenstein",2
"Lithuania",1
"Kazakhstan",1
"Azerbaijan",5
"Georgia",1
"Sweden",8
"Finland",3
"Scotland",9
"Luxembourg",2
"Switzerland",10
"Faroe Islands",2
"Moldova",2
"Andorra",4
"Hungary",8
"Poland",12
"Belarus",2
"Netherlands",12
"Norway",10
"Croatia",12
"Slovenia",10
"North Macedonia",8
"Romania",10
"Portugal",9
"Serbia",7
"Kosovo",5
"Bulgaria",5
"Ukraine",3
"Denmark",12
"Israel",8
"Albania",5
"England",12
"San Marino",2
"Armenia",7
"Republic of Ireland",1
"Greece",6
"Slovakia",5
"Italy",6
"Northern Ireland",4
"Austria",10
"Bosnia and Herzegovina",4
"France",6
"Belgium",6
"Wales",7
"Montenegro",5
"Spain",6
